,name,account_id,season,rank,assists,damageDealt,days,headshotKills,heals,kills,longestKill,longestTimeSurvived,losses,maxKillStreaks,mostSurvivalTime,rideDistance,roadKills,roundMostKills,roundsPlayed,suicides,swimDistance,timeSurvived,top10s,vehicleDestroys,walkDistance,weaponsAcquired,wins
0,Oilersfan74,account.166d81fc85534147b1b4bf2e537d5077,xbox-01,1,258,496847.47,120,822,4492,4016,397.2331,2189.345,4156,3,2189.345,3592398.0,57,11,4220,182,35318.77,3551210.8,743,116,4822258.0,20648,64
0,ALPHA NANOC,account.f396a20e56a94b4ba82b5f4eebd54861,xbox-02,1,205,444983.03,109,938,1700,4104,388.74417,2190.613,880,6,2190.613,441387.2,27,18,1015,13,4118.4077,911952.4,341,48,2043421.2,4859,135
0,XIISJagobo,account.55ff3a6b5c964172a677104edeb8f2ce,xbox-02,2,404,701186.06,113,1246,6576,6081,582.3584,2194.488,2046,3,2194.488,7157098.0,90,15,2312,69,29266.576,2733672.2,940,187,4058920.8,14552,269
0,WyattEarpXXX,account.d6c2446f5a924e53bb74b286ca1cc9ed,xbox-01,2,575,816185.7,111,1416,2160,6728,354.73224,2186.338,1317,5,2186.338,1031563.7,30,22,1535,25,7953.731,1779426.0,638,81,2811716.8,7530,220
0,XIISJagobo,account.55ff3a6b5c964172a677104edeb8f2ce,xbox-01,3,404,701186.06,113,1246,6576,6081,582.3584,2194.488,2046,3,2194.488,7157098.0,90,15,2312,69,29266.576,2733672.2,940,187,4058920.8,14552,269
0,JonFriendly,account.14731f042cdb45fa8fd4edb5f47ac29e,xbox-02,3,181,315367.6,117,528,2273,2637,390.10095,2190.704,1629,5,2190.704,4062985.0,177,11,1683,59,4760.6357,1515523.9,376,62,1899044.2,9884,54
0,XreecyX,account.a0af18f8ce5040a6a3b45029e8adea3c,xbox-02,4,112,310060.62,102,780,1060,2905,329.7687,2178.429,607,4,2178.429,205227.5,8,19,683,7,3070.0344,588418.6,172,16,1269371.1,2815,76
0,Brat0069,account.3520dffd3e3944e1893175cfef9e85f5,xbox-01,4,256,451671.6,119,868,1841,4068,398.84915,2194.341,3849,3,2194.341,8498114.0,124,13,4108,91,18555.578,2980070.8,812,109,1584307.9,10129,260
0,zCritic,account.dfea3f7020494c53afd7bdd8e2528910,xbox-01,5,439,1186084.8,116,2267,4316,11420,410.12003,2185.11,1939,4,2185.11,1551561.2,75,24,2241,24,7826.564,1913581.2,583,90,3582926.5,9843,304
0,xBindersx,account.6668be42410243cf9446a2d45788b2a2,xbox-02,5,395,966775.1,111,2515,5107,8959,588.02295,2188.423,2494,9,2188.423,1350389.1,63,20,2617,40,13330.05,1715151.6,386,91,3157173.5,12099,123
0,IBRETT FAVRE,account.3c5b670fee984aea94bd89c5cf8b1cfa,xbox-01,6,154,321939.88,87,537,3869,2722,329.1101,2108.542,2362,6,2108.542,2233636.5,40,9,2387,82,10527.304,1852449.1,310,47,2935804.5,10758,25
0,CreepiestMike,account.9994a3584161427f8d43821465e1c6c4,xbox-02,6,115,225002.73,88,391,1030,1948,246.22545,1953.007,1484,6,1953.007,419084.8,5,10,1492,4,6278.025,1047703.8,182,1,1478460.6,5729,8
0,PURPMAN478,account.cb50bd3f0caa461cac06c25a9ec730f7,xbox-01,7,349,924003.75,107,1549,6559,8983,417.77258,2205.498,2366,7,2205.498,2003739.4,37,18,2522,25,3990.381,1688905.4,378,44,2577631.5,10716,158
0,StephenRanoff,account.5a14e8fb35a1481ab618b5bbdcdd5a0e,xbox-02,7,94,182072.25,106,330,2439,1507,381.13425,2196.106,1005,3,2196.106,1781661.8,21,9,1059,30,9828.495,1059764.8,318,58,1783684.1,4807,55
0,Phalizideee,account.274d9aaec4f24bb8b1e294ef6fe6a1de,xbox-02,8,435,812691.6,112,1798,4407,7277,468.63184,2091.335,2129,18,2091.335,1756496.9,69,24,2257,38,7733.2983,1412202.0,330,116,2213283.2,9271,129
0,LAURSEN MN,account.42dda053d444442c97bd68b211d01d48,xbox-01,8,166,323423.34,97,531,2785,2566,320.3971,2067.773,2243,3,2067.773,1227314.5,17,11,2267,70,15760.31,1831388.9,313,25,2263956.8,9372,24
0,BeardedBlair,account.2f5e71dc11c842479ff42b444981aeba,xbox-02,9,198,351131.06,95,662,4003,2753,318.04224,2037.886,2834,12,2037.886,1885468.4,41,14,2862,44,19154.068,2632631.5,541,15,5523642.5,16179,28
0,groovepak,account.4ea62176568f4187bcacf1da1ab60c00,xbox-01,9,210,309948.6,119,517,2609,2307,336.6362,2179.875,2386,6,2179.875,2475490.2,37,7,2418,24,10198.222,2421478.8,566,72,3130434.5,10351,32
0,CureCFdad1,account.91bd5f5df7664658beaa17ade1b53c1a,xbox-02,10,146,301800.22,95,497,2380,2528,370.41183,2078.631,1876,7,2078.631,512528.9,8,12,1896,35,5303.9644,1316664.9,228,18,2130970.8,8756,20
0,RealRecognzeRio,account.92c3124eeea846ceb16f63a0b01d2d29,xbox-01,10,133,305960.44,108,612,1753,2796,202.4002,2083.964,1243,4,2083.964,2008049.5,12,11,1472,29,23419.969,1640566.1,623,24,1840947.2,6463,229
0,TotallyBogusBro,account.a3db610632d645b4a3f092307f2b61ab,xbox-02,11,428,465017.72,108,935,2693,4112,306.1533,2191.538,2500,11,2191.538,3467718.5,236,11,2554,57,43866.516,1822837.5,414,31,3030895.8,9787,55
0,HaZeRdOu5CuSh,account.30e5e802871948b0b402591dda9cc779,xbox-01,11,208,354290.06,101,591,1587,2928,267.52664,1967.029,1721,4,1967.029,102884.78,0,13,1748,19,18764.328,1351517.8,196,42,1641624.5,6520,28
0,k0n5truct,account.47033f784c0b456eb6d518f36e55fac7,xbox-01,12,276,551939.06,113,1034,4223,5027,346.78018,2048.042,1837,8,2048.042,1817064.4,46,13,1921,33,6670.5107,1768193.6,491,101,3137480.2,10241,84
0,stevecarsonr,account.2acf93114d684e78801fdb26da585fa2,xbox-02,12,162,347413.53,92,399,2839,2897,269.00815,2022.254,2296,3,2022.254,2163953.5,49,9,2321,17,8601.541,1688899.0,385,30,2348995.5,9814,25
0,NinjaSkiLL,account.891597af50724cc199a5141c26eac48e,xbox-02,13,26,59623.227,24,111,417,571,328.93817,2180.743,175,4,2180.743,317557.34,4,16,190,6,1576.6212,148597.14,35,10,218229.72,1086,15
0,OrTerreur47auto,account.34e0f64eb72a4c9cbdff2621b53b1874,xbox-01,13,216,494618.2,119,1169,2598,4403,414.33765,2178.127,1819,3,2178.127,3923299.2,77,13,1924,30,6641.1147,2224410.5,636,79,4003333.2,12796,105
