,stats.DBNOs,stats.assists,stats.boosts,stats.damageDealt,stats.deathType,stats.headshotKills,stats.heals,stats.killPlace,stats.killStreaks,stats.kills,stats.longestKill,stats.name,stats.playerId,stats.revives,stats.rideDistance,stats.roadKills,stats.swimDistance,stats.teamKills,stats.timeSurvived,stats.vehicleDestroys,stats.walkDistance,stats.weaponsAcquired,stats.winPlace
0,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,40.0,0.0,0.0,0.0,Scotty_Drippin33,account.dd3effd0b9754915ad4ad9d6e9edbb8b,0.0,1379.4823,0.0,0.0,0.0,1147.0,0.0,1430.7711,4.0,10.0
0,0.0,2.0,2.0,35.02364,byplayer,0.0,1.0,31.0,0.0,0.0,0.0,Krono365,account.8365574e511d4bb1b20444417922320e,0.0,3878.2502,0.0,0.0,0.0,1296.0,0.0,1524.8973,4.0,7.0
0,1.0,0.0,4.0,100.0,byplayer,1.0,1.0,22.0,1.0,1.0,61.13189,MSHFAM2020,account.1e07184c9ba84e77a08b813913ac139c,0.0,4281.2915,0.0,0.0,0.0,986.0,0.0,1669.1058,6.0,11.0
0,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,0.0,3.0,362.61935,byplayer,1.0,1.0,10.0,2.0,2.0,75.91418,Wicho5744,account.1975ea16db624fe48200b085db741b8e,0.0,5903.955,0.0,0.0,0.0,1316.0,1.0,986.3289,3.0,9.0
0,0.0,1.0,0.0,147.5818,byplayer,0.0,0.0,30.0,0.0,0.0,0.0,TTP JosiKo,account.dab0b141c63a4cada28ff2d43fd8309e,0.0,3934.328,0.0,0.0,0.0,1376.0,0.0,1742.0631,6.0,7.0
0,0.0,0.0,9.0,69.6,byplayer,0.0,9.0,27.0,0.0,0.0,0.0,DND W4DE,account.1d998f441e1649339b2d3cd81ba78f07,0.0,2883.2554,0.0,0.0,0.0,1620.0,0.0,1545.2527,3.0,6.0
0,0.0,0.0,3.0,134.72838,byplayer,0.0,3.0,19.0,1.0,1.0,8.895131,Gr0mplekilskin,account.2ada49afe4284830a1c93379e6434ca3,0.0,7157.072,0.0,0.0,0.0,1475.0,0.0,1324.1324,7.0,5.0
0,2.0,0.0,5.0,369.99207,byplayer,0.0,1.0,25.0,0.0,0.0,0.0,mVizil,account.9ecae18b73534e8387c74f65cb608368,0.0,5304.504,0.0,0.0,0.0,1753.0,0.0,1907.9067,3.0,4.0
0,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,joaozitho619,account.324dd9a7922744b892b7295958774d21,0.0,0.0,0.0,0.0,0.0,496.0,0.0,994.63654,4.0,16.0
0,1.0,1.0,7.0,149.93379,byplayer,1.0,2.0,13.0,1.0,1.0,114.848366,OT4L Skazy,account.24b0cc022ad549f08dc46b5b91f96b22,3.0,6318.4395,0.0,0.0,0.0,1871.0,0.0,2267.3232,5.0,2.0
0,0.0,0.0,2.0,0.0,byplayer,0.0,5.0,33.0,0.0,0.0,0.0,DadGAR2016,account.1026da85d3734206a870413229123d2b,0.0,0.0,0.0,0.0,0.0,1355.0,0.0,2162.9768,4.0,8.0
0,0.0,0.0,4.0,0.0,suicide,0.0,3.0,47.0,0.0,0.0,0.0,vampireslayer76,account.d01a5f2e2af0424695e9c12347c2878b,0.0,1896.6998,0.0,0.0,0.0,980.0,0.0,2645.4587,6.0,12.0
0,0.0,0.0,0.0,59.95536,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,JakeCoyleSux,account.c37aeabc30f94975965e080e5d0b02ba,0.0,934.2517,0.0,0.0,0.0,459.0,0.0,898.6891,1.0,15.0
